Gtm,Date,Team,Home,Opp,Win,Portland_Score,Others_Score,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,10/23/2024,POR,1,GSW,0,104,140,1,27.48,4,10,0.40,0,3,0.00,4,7,0.57,0.4,7,8,0.88,2,5,7,2,2,2,4,2,15,12.1,-13
2,10/25/2024,POR,1,NOP,0,103,105,1,30.90,1,9,0.11,0,3,0.00,1,6,0.17,0.11,0,0,#DIV/0!,1,5,6,6,1,2,2,1,2,2.5,2
3,10/27/2024,POR,1,NOP,1,125,103,1,29.93,4,12,0.33,1,5,0.20,3,7,0.43,0.38,2,2,1.00,3,3,6,3,1,0,1,3,11,8.1,21
4,10/28/2024,POR,0,SAC,0,98,111,1,24.98,2,7,0.29,0,4,0.00,2,3,0.67,0.29,5,6,0.83,0,4,4,1,2,0,2,2,9,5.6,-21
5,10/30/2024,POR,0,LAC,1,106,105,1,29.03,3,8,0.38,1,3,0.33,2,5,0.40,0.44,6,6,1.00,0,10,10,2,1,2,2,2,13,12.6,-4
6,11/01/2024,POR,1,OKC,0,114,137,1,23.00,5,10,0.50,1,3,0.33,4,7,0.57,0.55,0,1,0.00,1,2,3,4,1,0,6,2,11,3.9,-11
7,11/02/2024,POR,0,PHO,0,97,103,1,32.32,4,12,0.33,2,5,0.40,2,7,0.29,0.42,3,3,1.00,2,4,6,2,2,2,1,2,13,11.8,12
8,11/04/2024,POR,0,NOP,1,118,100,1,20.75,2,5,0.40,0,1,0.00,2,4,0.50,0.4,3,4,0.75,2,4,6,3,0,0,0,2,7,7.8,-7
9,11/07/2024,POR,0,SAS,0,105,118,1,24.80,3,5,0.60,1,3,0.33,2,2,1.00,0.7,2,5,0.40,2,5,7,5,0,0,1,0,9,10.9,-4
10,11/08/2024,POR,0,MIN,0,102,127,1,23.45,4,9,0.44,0,2,0.00,4,7,0.57,0.44,1,3,0.33,1,4,5,1,1,0,1,2,9,5.3,-26
11,11/10/2024,POR,1,MEM,0,89,134,0,13.43,0,5,0.00,0,3,0.00,0,2,0.00,0,0,0,#DIV/0!,1,1,2,4,0,1,2,1,0,-1.4,-14
12,11/12/2024,POR,1,MIN,1,122,108,0,25.25,4,10,0.40,3,6,0.50,1,4,0.25,0.55,6,6,1.00,0,4,4,5,1,1,1,2,17,16.2,5
13,11/13/2024,POR,1,MIN,1,106,98,0,18.40,1,5,0.20,1,2,0.50,0,3,0.00,0.3,4,4,1.00,0,6,6,1,1,0,3,2,7,3.6,15
14,11/17/2024,POR,1,ATL,1,114,110,0,25.28,4,8,0.50,2,4,0.50,2,4,0.50,0.63,2,2,1.00,3,5,8,4,2,1,1,1,12,15.7,1
15,11/20/2024,POR,0,OKC,0,99,109,0,23.65,4,10,0.40,1,3,0.33,3,7,0.43,0.45,4,7,0.57,2,4,6,1,1,1,1,2,13,9.6,-14
16,11/22/2024,POR,0,HOU,0,88,116,0,23.43,4,9,0.44,1,3,0.33,3,6,0.50,0.5,4,5,0.80,1,5,6,1,0,0,4,3,13,5.6,-16
17,11/23/2024,POR,0,HOU,1,104,98,0,33.38,4,8,0.50,2,3,0.67,2,5,0.40,0.63,4,6,0.67,2,8,10,2,1,4,3,1,14,14.8,-2
18,11/25/2024,POR,0,MEM,0,98,123,0,31.90,7,16,0.44,2,7,0.29,5,9,0.56,0.5,1,2,0.50,1,7,8,6,1,1,3,4,17,12.3,-11
19,11/27/2024,POR,0,IND,0,114,121,1,41.15,6,12,0.50,2,5,0.40,4,7,0.57,0.58,2,2,1.00,1,4,5,7,2,0,2,3,16,15.6,-4
20,11/29/2024,POR,1,SAC,1,115,106,1,36.67,7,15,0.47,4,9,0.44,3,6,0.50,0.6,2,2,1.00,1,8,9,5,2,1,0,3,20,20.4,12
21,12/01/2024,POR,1,DAL,0,131,137,0,28.72,7,12,0.58,2,4,0.50,5,8,0.63,0.67,5,5,1.00,0,4,4,2,1,0,4,3,21,13.8,-16
22,12/03/2024,POR,0,LAC,0,105,127,0,22.93,6,9,0.67,3,3,1.00,3,6,0.50,0.83,0,0,#DIV/0!,2,1,3,3,1,0,2,3,15,12.7,-10
23,12/06/2024,POR,1,UTA,0,99,141,0,23.65,2,9,0.22,1,5,0.20,1,4,0.25,0.28,1,2,0.50,1,4,5,2,0,1,1,2,6,2.3,-14
24,12/08/2024,POR,0,LAL,0,98,107,0,23.28,4,7,0.57,2,3,0.67,2,4,0.50,0.71,3,4,0.75,1,3,4,2,0,0,1,3,13,10.1,-12
25,12/13/2024,POR,1,SAS,0,116,118,0,26.23,7,11,0.64,1,3,0.33,6,8,0.75,0.68,4,4,1.00,3,2,5,4,1,0,2,0,19,18.6,-8
26,12/15/2024,POR,0,PHO,0,109,116,0,27.95,6,9,0.67,3,5,0.60,3,4,0.75,0.83,2,4,0.50,0,7,7,3,0,0,4,1,17,12.1,-9
27,12/19/2024,POR,1,DEN,1,126,124,0,21.05,6,9,0.67,3,6,0.50,3,3,1.00,0.83,4,4,1.00,0,2,2,1,0,1,1,3,19,14.9,-7
